Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Priority
SiSNAT1	specific	395465	22	156	1.99E-10	56.7572	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT2	specific	395465	55	154	1.79E-11	57.9128	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT3	specific	395465	187	261	5.05E-13	64.4612	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT3	specific	440224	192	282	2.13E-14	67.3733	COG0456	RimI	-	cl33885	1
SiSNAT4	specific	395465	180	236	2.53E-16	72.9356	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT4	specific	440224	178	241	3.42E-18	77.0033	COG0456	RimI	-	cl33885	1
SiSNAT6	specific	395465	51	158	5.41E-13	62.15	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT7	specific	395465	439	548	1.74E-12	64.076	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT8	specific	463905	126	196	5.07E-11	56.6941	pfam13508	Acetyltransf_7	-	cl48199	1
SiSNAT9	specific	463905	162	235	9.32E-15	67.4796	pfam13508	Acetyltransf_7	-	cl48199	1
SiSNAT10	specific	463905	134	210	1.88E-07	48.9901	pfam13508	Acetyltransf_7	-	cl48199	1
SiSNAT11	specific	395465	123	189	2.10E-10	57.9128	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT12	specific	395465	40	145	3.69E-20	81.0248	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT12	specific	440224	73	168	5.39E-21	82.3961	COG0456	RimI	-	cl33885	1
SiSNAT13	specific	395465	68	178	6.72E-09	51.7496	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT14	specific	395465	186	253	2.28E-17	76.0172	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT14	specific	440224	195	258	4.58E-19	79.6997	COG0456	RimI	-	cl33885	1
SiSNAT15	specific	395465	213	277	4.24E-11	59.0684	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT15	specific	440224	215	304	3.09E-14	66.9881	COG0456	RimI	-	cl33885	1
SiSNAT16	specific	395465	204	260	0.000109592	40.964	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT16	specific	440224	204	286	6.72E-07	46.5726	COG0456	RimI	-	cl33885	1
SiSNAT17	specific	395465	29	129	1.24E-15	69.4688	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT17	specific	440224	55	153	8.36E-19	77.0033	COG0456	RimI	-	cl33885	1
SiSNAT18	specific	395465	37	152	1.59E-19	79.8692	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT18	specific	440224	87	173	2.87E-17	73.1513	COG0456	RimI	-	cl33885	1
SiSNAT19	specific	395465	132	210	2.08E-12	62.15	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT20	specific	395465	102	163	6.94E-13	64.8464	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT21	specific	395465	20	127	2.80E-15	67.928	pfam00583	Acetyltransf_1	-	cl17182	1
SiSNAT21	specific	440224	55	151	5.05E-17	71.9957	COG0456	RimI	-	cl33885	1
SiSNAT22	specific	395465	69	143	7.53E-15	66.7724	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT22	specific	440224	75	166	1.40E-17	73.1513	COG0456	RimI	-	cl33885	1
SiSNAT23	specific	379112	5	68	2.26E-12	58.5114	pfam13302	Acetyltransf_3	N	cl17182	1
SiSNAT23	specific	441276	1	68	6.39E-14	63.4795	COG1670	RimL	N	cl34333	1
SiSNAT24	specific	463905	477	555	1.26E-11	60.9313	pfam13508	Acetyltransf_7	-	cl48199	1
SiSNAT25	specific	395465	214	297	4.98E-12	62.15	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT25	specific	440224	233	323	6.44E-15	69.2993	COG0456	RimI	-	cl33885	1
SiSNAT26	specific	395465	63	166	1.28E-13	66.7724	pfam00583	Acetyltransf_1	N	cl17182	2
SiSNAT27	specific	395465	222	285	3.73E-12	62.15	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT27	specific	440224	218	290	1.30E-14	68.1437	COG0456	RimI	-	cl33885	1
SiSNAT28	specific	395465	115	193	1.55E-12	62.15	pfam00583	Acetyltransf_1	N	cl17182	1
SiSNAT29	specific	395465	115	193	7.11E-10	54.8312	pfam00583	Acetyltransf_1	N	cl17182	1
